dataset,num_and_cat,importance_gain_dtree,importance_gain_ablation,importance_gain_noproba,importance_gain_with_proba,importance_gain_shap,importance_gain_explan,importance_gain_lore,importance_gain_anchor
banknote-authentication,knn-nosuite,0.3333333333333333,,0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
banknote-authentication,knn-nosuite,0.0,,0,0,0.5,0.25,0.0,0.0
banknote-authentication,knn-nosuite,0.31818181818181807,,0,0,0.34090909090909194,0.3863636363636368,0.31818181818181807,0.0
banknote-authentication,knn-nosuite,0.2977855477855478,0.8548951048951055,0,0,0.06643356643356646,0.43356643356643354,0.2977855477855478,0.0
banknote-authentication,knn-nosuite,0.32666666666666666,0.6200000000000004,0,0,0.43666666666666676,0.43666666666666676,0.32666666666666666,0.0
banknote-authentication,knn-nosuite,0.4364341085271318,0.4364341085271318,0,0,0.4364341085271318,0.4364341085271318,0.35542635658914756,0.0
banknote-authentication,knn-nosuite,0.3333333333333333,0.7000000000000008,0,0,0.3333333333333333,1.4456028966473375e-17,0.3333333333333333,0.0
banknote-authentication,knn-nosuite,0.0,,0,0,0.5,0.25,0.16666666666666666,0.0
banknote-authentication,knn-nosuite,0.3185185185185186,0.6111111111111115,0,0,0.47777777777777775,0.33333333333333326,0.3185185185185186,0.0
banknote-authentication,knn-nosuite,0.24698795180722782,,0,0,0.24698795180722782,0.3734939759036139,0.2469879518072291,0.0
banknote-authentication,knn-nosuite,0.31858237547892726,0.7482758620689656,0,0,0.4459770114942529,0.4459770114942529,0.31858237547892726,0.0
banknote-authentication,knn-nosuite,0.5000000000000008,,0,0,0.5000000000000008,0.29999999999999966,0.29999999999999966,0.0
banknote-authentication,knn-nosuite,0.0,,0,0,0.5,0.25,0.25,0.0
banknote-authentication,knn-nosuite,0.30952380952381064,,0,0,0.3571428571428639,0.3571428571428639,0.30952380952381064,0.0
banknote-authentication,knn-nosuite,0.2722222222222219,,0,0,0.2722222222222219,0.2722222222222219,0.31666666666666643,0.0
banknote-authentication,knn-nosuite,0.30817610062893075,0.4056603773584908,0,0,0.39622641509433953,0.30817610062893075,0.39622641509433953,0.0
banknote-authentication,knn-nosuite,0.3055555555555556,0.44444444444444425,0,0,0.41666666666666663,0.3055555555555556,0.41666666666666663,0.0
banknote-authentication,knn-nosuite,0.3198830409356725,0.656140350877193,0,0,0.46140350877192976,0.3198830409356725,0.3198830409356725,0.0
banknote-authentication,knn-nosuite,0.25,,0,0,0.5,0.25,0.25,0.0
banknote-authentication,knn-nosuite,0.23888888888888937,,0,0,0.2833333333333319,0.2833333333333319,0.27222222222222175,0.0
banknote-authentication,knn-nosuite,0.45333333333333337,0.5944444444444446,0,0,0.45333333333333337,0.45333333333333337,0.45333333333333337,0.0
banknote-authentication,knn-nosuite,0.2980769230769231,0.3822115384615384,0,0,0.2980769230769231,0.3822115384615384,0.2980769230769231,0.0
banknote-authentication,knn-nosuite,0.16666666666666666,,0,0,0.5,0.25,0.25,0.0
banknote-authentication,knn-nosuite,0.0,,0,0,0.0,0.16666666666666666,0.16666666666666666,0.0
banknote-authentication,knn-nosuite,0.3182098765432099,0.6262345679012347,0,0,0.3182098765432099,0.33580246913580253,0.3182098765432099,0.0
banknote-authentication,knn-nosuite,0.1666666666666574,,0,0,0.1666666666666805,0.3333333333333263,0.16666666666666896,0.0
banknote-authentication,knn-nosuite,0.2999999999999998,,0,0,0.2999999999999996,0.2999999999999998,0.2999999999999996,0.0
banknote-authentication,knn-nosuite,0.0,,0,0,0.25,0.0,0.25,0.0
banknote-authentication,knn-nosuite,0.45245901639344255,0.8729508196721312,0,0,0.45245901639344255,0.45245901639344255,0.33142076502732243,0.0
banknote-authentication,knn-nosuite,0.2761437908496732,,0,0,0.2761437908496732,0.2892156862745098,0.24999999999999992,0.0
banknote-authentication,knn-nosuite,0.3333333333333333,,0,0,0.25,0.25,0.3333333333333333,0.0
banknote-authentication,knn-nosuite,0.24999999999999944,,0,0,0.24999999999999944,0.18859649122807123,0.18859649122807123,0.0
banknote-authentication,knn-nosuite,0.4752444987775061,0.4752444987775061,0,0,0.75,0.02475550122249394,0.75,0.0
banknote-authentication,knn-nosuite,0.0,,0,0,0.0,0.0,0.16666666666666666,0.0
banknote-authentication,knn-nosuite,0.3317460317460317,0.7761904761904764,0,0,0.3317460317460317,0.7761904761904764,0.3317460317460317,0.0
banknote-authentication,knn-nosuite,0.0,,0,0,0.0,0.25,0.25,0.0
banknote-authentication,knn-nosuite,0.0,,0,0,0.0,0.25,0.16666666666666666,0.0
banknote-authentication,knn-nosuite,0.24999999999999828,0.24999999999999828,0,0,0.25,0.25,0.24999999999999942,0.0
